item_id,name,baseprice
32906,2-piece tuxedo,9.3
32907,3-piece suit,8.55
32908,Blouse,4.5
32909,Coat,9.75
32910,Coat 3/4,9.1
32911,Dress,6.6
32912,Dryclean,1.5
32913,Gown,15.6
32914,Hankerchief,37.5
32915,Jacket-outer,6.55
32916,Jacket-sport,6.7
32917,Jeans,4.5
32918,Jumpsuit,7.8
32919,Pants,4.15
32920,Poodle dog,16.5
32921,Raincoat,6.3
32922,Robe,6.6
32923,Santa suit,15
32924,Scarf,2.2
32925,Shirt-dc,3.35
32926,Shorts,3.35
32927,Skirt,5.6
32928,Sweater,4.65
32929,Test,2.5
32930,Tie,1.9
32931,Total price,0
32932,Vest,2.95
32933,Warmup suit,7.05
32934,Wedding gown,92.8
32935,AFGHAN,0
32936,ARM COVER,0
32937,BED SPREAD,0
32938,BLANKET,0
32939,CHAIR COVER,0
32940,Comforter,0
32941,COUCH COVER,0
32942,CURTAIN,0
32943,CUSHION COVER,0
32944,DOILIES,0
32945,DRAPES-LINED,0
32946,DRAPES-UNLINED,0
32947,DRAPES-VELVET,0
32948,DRAPES-WH-LN,0
32949,DRAPES-WHITE,0
32950,DUST RUFFLE,0
32951,NAPKIN,0
32952,PILLOW SHAM,0
32953,QUILT,0
32954,RUG,0
32955,SHEERS,0
32956,SLEEPING BAG,0
32957,SOFA COVER,0
32958,TABLE CLOTH,0
32959,TIE BACKS,0
32960,VALANCE,0
32961,BULK,0
32962,Hankies,2.75
32963,NAPKINS,0
32964,Pillow case,3.3
32965,Sheets,10.7
32966,TABLE CLOTH,0
32967,Towel,3.3
32968,Wash fold 1-10 lb,16.5
32969,Wash fold 10+,0
32970,FUR COAT,0
32971,FUR HAT,0
32972,FUR JACKET,0
32973,FUR STOLE,0
32974,LEATHER COAT,0
32975,LEATHER DRESS,0
32976,LEATHER GLOVES,0
32977,LEATHER PANTS,0
32978,LEATHER SKIRT,0
32979,LEATHER VEST,0
32980,LTH JACKET,0
32981,SUEDE COAT,0
32982,SUEDE DRESS,0
32983,SUEDE GLOVES,0
32984,SUEDE JACKET,0
32985,SUEDE PANTS,0
32986,SUEDE SKIRT,0
32987,SUEDE VEST,0
32988,CHEER,2.75
32989,CLOROX,2.2
32990,TIDE,2.75
32991,Shirt,4.5
32992,SHIRT ON HANGER,0
32998,Lint roller,2.5
33347,#PERBUTON,13
33449,wf0-0,0
33450,wf0plus,0
33451,bagL,15
33452,bagM,12
33453,bagS,10
